Frequency (MHz),Call Sign,Service Code,Licensee Name,Phone Number,Latitude,Longitude,Licensee Provided Details,Power ERP (W),Power Out (W),Distance (miles),Computed Power (dBm)
0.54,WGOP,AM,BIRACH BROADCASTING CORPORATION,(248) 557-3500,38.05,-75.57,Language: English,0.24,0,97.59,-86.131
0.54,WGOP,AM,BIRACH BROADCASTING CORPORATION,(248) 557-3500,38.05,-75.57,Language: English,0.5,0,97.59,-82.997
0.55,WSVA,AM,"TIDEWATER COMMUNICATIONS, LLC",(716) 983-9164,38.45,-78.91,EAS type: LP-3; Language: English,1,0,107.27,-81.276
0.55,WSVA,AM,"TIDEWATER COMMUNICATIONS, LLC",(716) 983-9164,38.45,-78.91,EAS type: LP-3; Language: English,5,0,107.27,-74.287
0.57,WWRC,AM,SALEM COMMUNICATIONS HOLDING CORPORATION,,39.13,-77.30,,1,0,22.53,-62.95
0.57,WWRC,AM,SALEM COMMUNICATIONS HOLDING CORPORATION,,39.13,-77.30,,5,0,22.53,-55.96
0.58,WHP,AM,"CLEAR CHANNEL BROADCASTING LICENSES, INC.",(918) 664-4581,40.30,-76.95,Language: English,5,0,96.85,-73.527
0.59,WLES,AM,TRUTH BROADCASTING CORPORATION,(904) 861-0444,37.51,-77.51,,0.06,0,99.85,-93.395
0.59,WLES,AM,TRUTH BROADCASTING CORPORATION,(904) 861-0444,37.51,-77.51,,1,0,99.85,-81.029
0.6,WCAO,AM,"CITICASTERS LICENSES, INC.",(918) 664-4581,39.43,-76.76,EAS type: LP-2; Language: English,5,0,38.72,-62.872
0.61,WXVA,AM,"WINCHESTER RADIO BROADCASTERS, LLC",,39.12,-78.21,,0.38,0,66.5,-80.667
0.61,WXVA,AM,"WINCHESTER RADIO BROADCASTERS, LLC",,39.20,-78.22,,0.5,0,68.24,-79.783
0.63,WSBN,AM,RADIO LICENSE HOLDINGS LLC,(202) 895-2318,39.13,-77.30,Language: English,10,0,22.52,-53.812
0.63,WSBN,AM,RADIO LICENSE HOLDINGS LLC,(202) 895-2318,39.13,-77.30,Language: English,2.7,0,22.52,-59.499
0.68,WCBM,AM,"WCBM MARYLAND, INC.",,39.37,-76.86,,20,0,33.53,-56.221
0.68,WCBM,AM,"WCBM MARYLAND, INC.",,39.37,-76.86,,50,0,33.53,-52.241
0.69,WELD,AM,"THUNDER ASSOCIATES, LLC",(304) 538-6062,39.05,-79.01,Language: English,0.01,0,107.92,-101.857
0.69,WELD,AM,"THUNDER ASSOCIATES, LLC",(304) 538-6062,39.05,-79.01,Language: English,0.5,0,107.92,-86.329
0.69,WELD,AM,"THUNDER ASSOCIATES, LLC",(304) 538-6062,39.05,-79.01,Language: English,3,0,107.92,-78.547
0.7,WDMV,AM,BIRACH BROADCASTING CORPORATION,(248) 557-3500,39.46,-77.32,Language: Spanish,5,0,41.9,-65.155
0.72,WHYF,AM,"HOLY FAMILY RADIO, INC.",(724) 833-4183,40.19,-76.95,Language: English,2,0,89.11,-78.39
0.73,WTNT,AM,"METRO RADIO, INC.",,38.75,-77.10,,0.03,0,12.01,-73.601
0.73,WTNT,AM,"METRO RADIO, INC.",,38.75,-77.10,,8,0,12.01,-48.55
0.74,WRNR,AM,"SHENANDOAH COMMUNICATIONS, INC.",(304) 283-6692,39.47,-77.93,Language: English,0.02,0,63.34,-94.34
0.74,WRNR,AM,"SHENANDOAH COMMUNICATIONS, INC.",(304) 283-6692,39.47,-77.93,Language: English,0.5,0,63.34,-80.572
0.74,WVCH,AM,"WVCH COMMUNICATIONS, INC.",(267) 226-8777,39.88,-75.41,Language: English,0.01,0,108.91,-106.253
